region,generation,sex,year,suicides_no,population,suicides_per_100k
Europe,Silent,male,1996,17373,48827934,35.5800431777433
Europe,Silent,male,1997,16036,46201707,34.70867429205592
Europe,Silent,male,1998,15881,46278534,34.316125917039635
Europe,Silent,male,1999,16272,49183852,33.08402928668539
Europe,Silent,male,2000,16142,49251208,32.774830619382975
Europe,Silent,male,2001,21539,61973239,34.75532398750371
Europe,Silent,male,2002,21696,63098375,34.38440371879624
Europe,Silent,male,2003,21775,64172833,33.931804132755055
Europe,Silent,male,2004,20037,63194248,31.706999662374333
Europe,Silent,male,2005,20035,64355479,31.131770458891307
Europe,Silent,male,2006,19655,65528225,29.994708387111046
Europe,Silent,male,2007,20276,68846071,29.45120862452703
Europe,Silent,male,2008,21003,69962796,30.02024104353977
Europe,Silent,male,2009,21717,71079076,30.553295318582926
Europe,Silent,male,2010,21796,72334877,30.13207584496204
Europe,Silent,male,2011,6847,16977773,40.329199830861214
Europe,Silent,male,2012,7031,17422076,40.35684381126566
Europe,Silent,male,2013,6581,17074039,38.54389696544561
Europe,Silent,male,2014,7418,18500412,40.09640433953579
Europe,Silent,male,2015,5834,15734005,37.07892555010628
Europe,Silent,male,2016,1003,2258443,44.41112748915957
