Country,Continent,Age Group,Suicide Rate
Latvia,Europe,40-44,20.5
Lithuania,Europe,40-44,16.1
Luxembourg,Europe,40-44,6.2
Netherlands,Europe,40-44,11.5
Norway,Europe,40-44,15.3
Poland,Europe,40-44,15.1
Portugal,Europe,40-44,7.3
Slovak Republic,Europe,40-44,7.5
Slovenia,Europe,40-44,19.3
Spain,Europe,40-44,9.3
Sweden,Europe,40-44,14.2
Switzerland,Europe,40-44,8.4
Turkey,Asia,40-44,4.7
United Kingdom,Europe,40-44,11.5
Austria,Europe,45-49,12.3
Belgium,Europe,45-49,22.9
Czech Republic,Europe,45-49,13.5
Denmark,Europe,45-49,11.4
Estonia,Europe,45-49,12.1
Finland,Europe,45-49,14.6
France,Europe,45-49,19.8
Germany,Europe,45-49,10.2
Greece,Europe,45-49,5.8
Hungary,Europe,45-49,19.1
Iceland,Europe,45-49,16.8
Ireland,Europe,45-49,13.7
Israel,Asia,45-49,8.2
Italy,Europe,45-49,7.6
Japan,Asia,45-49,19.1
Korea,Asia,45-49,30
Latvia,Europe,45-49,20.9
Lithuania,Europe,45-49,25
Luxembourg,Europe,45-49,6.5
Netherlands,Europe,45-49,15.6
Norway,Europe,45-49,16.7
Poland,Europe,45-49,15.2
Portugal,Europe,45-49,11.2
Slovak Republic,Europe,45-49,6.4
Slovenia,Europe,45-49,15.3
Spain,Europe,45-49,11.1
Sweden,Europe,45-49,13.1
Switzerland,Europe,45-49,10.7
Turkey,Asia,45-49,4.7
United Kingdom,Europe,45-49,14.5
Austria,Europe,50-54,12.1
Belgium,Europe,50-54,26.5
Czech Republic,Europe,50-54,16.5
Denmark,Europe,50-54,15.7
Estonia,Europe,50-54,11.6
Finland,Europe,50-54,14.2
France,Europe,50-54,21.2
Germany,Europe,50-54,13.6
Greece,Europe,50-54,6.1
Hungary,Europe,50-54,20.4
Iceland,Europe,50-54,4.6
Ireland,Europe,50-54,12.6
Israel,Asia,50-54,7
Italy,Europe,50-54,8
Japan,Asia,50-54,20.4
Korea,Asia,50-54,29.3
Latvia,Europe,50-54,15.6
Lithuania,Europe,50-54,25.7
Luxembourg,Europe,50-54,6.4
Netherlands,Europe,50-54,16.4
Norway,Europe,50-54,19
Poland,Europe,50-54,15.9
Portugal,Europe,50-54,13.1
Slovak Republic,Europe,50-54,8.3
Slovenia,Europe,50-54,15.9
Spain,Europe,50-54,12.4
Sweden,Europe,50-54,17.5
Switzerland,Europe,50-54,14.6
Turkey,Asia,50-54,5.4
United Kingdom,Europe,50-54,13.2
Austria,Europe,55-59,15.2
Belgium,Europe,55-59,26.1
Czech Republic,Europe,55-59,14.7
Denmark,Europe,55-59,13.2
Estonia,Europe,55-59,9.5
Finland,Europe,55-59,16.3
France,Europe,55-59,19.3
Germany,Europe,55-59,14.6
Greece,Europe,55-59,5.7
Hungary,Europe,55-59,29.3
Iceland,Europe,55-59,27
